,0,1
387,10N_100W,"(0, -100, 10, -90)"
388,80N_130W,"(70, -130, 80, -120)"
389,20S_110W,"(-30, -110, -20, -100)"
390,60N_030E,"(50, 30, 60, 40)"
391,20S_040E,"(-30, 40, -20, 50)"
392,40N_130W,"(30, -130, 40, -120)"
393,40S_020W,"(-50, -20, -40, -10)"
394,10N_140E,"(0, 140, 10, 150)"
395,20N_160W,"(10, -160, 20, -150)"
396,20S_070E,"(-30, 70, -20, 80)"
397,70N_020E,"(60, 20, 70, 30)"
398,20S_160W,"(-30, -160, -20, -150)"
399,30N_060W,"(20, -60, 30, -50)"
400,00N_030W,"(-10, -30, 0, -20)"
401,10S_150W,"(-20, -150, -10, -140)"
402,00N_070W,"(-10, -70, 0, -60)"
403,10S_130E,"(-20, 130, -10, 140)"
404,50S_090E,"(-60, 90, -50, 100)"
405,30N_070W,"(20, -70, 30, -60)"
406,00N_050W,"(-10, -50, 0, -40)"
407,10N_140W,"(0, -140, 10, -130)"
408,30N_140E,"(20, 140, 30, 150)"
409,30S_070E,"(-40, 70, -30, 80)"
410,20N_170W,"(10, -170, 20, -160)"
411,80N_000E,"(70, 0, 80, 10)"
412,20S_010W,"(-30, -10, -20, 0)"
413,20N_140W,"(10, -140, 20, -130)"
414,20N_130E,"(10, 130, 20, 140)"
415,50S_150W,"(-60, -150, -50, -140)"
416,10N_120E,"(0, 120, 10, 130)"
417,20S_060W,"(-30, -60, -20, -50)"
418,70N_060W,"(60, -60, 70, -50)"
419,30S_130E,"(-40, 130, -30, 140)"
420,70N_070E,"(60, 70, 70, 80)"
421,20S_080E,"(-30, 80, -20, 90)"
422,40N_090E,"(30, 90, 40, 100)"
423,10N_030W,"(0, -30, 10, -20)"
424,70N_010E,"(60, 10, 70, 20)"
425,70N_110W,"(60, -110, 70, -100)"
426,40N_110E,"(30, 110, 40, 120)"
427,30N_080E,"(20, 80, 30, 90)"
428,80N_090E,"(70, 90, 80, 100)"
429,20N_090E,"(10, 90, 20, 100)"
430,30N_160E,"(20, 160, 30, 170)"
431,60N_140E,"(50, 140, 60, 150)"
432,50S_160W,"(-60, -160, -50, -150)"
433,20N_020E,"(10, 20, 20, 30)"
434,50S_050W,"(-60, -50, -50, -40)"
435,10N_080W,"(0, -80, 10, -70)"
436,70N_040E,"(60, 40, 70, 50)"
437,10S_030W,"(-20, -30, -10, -20)"
438,10S_090W,"(-20, -90, -10, -80)"
439,50S_100E,"(-60, 100, -50, 110)"
440,70N_130W,"(60, -130, 70, -120)"
441,30S_170E,"(-40, 170, -30, 180)"
442,40S_130W,"(-50, -130, -40, -120)"
443,50S_140W,"(-60, -140, -50, -130)"
444,50S_020W,"(-60, -20, -50, -10)"
445,80N_110E,"(70, 110, 80, 120)"
446,30S_050W,"(-40, -50, -30, -40)"
447,70N_150W,"(60, -150, 70, -140)"
448,40N_120W,"(30, -120, 40, -110)"
449,40S_060E,"(-50, 60, -40, 70)"
450,10N_060E,"(0, 60, 10, 70)"
451,30S_000E,"(-40, 0, -30, 10)"
452,80N_010E,"(70, 10, 80, 20)"
453,80N_170W,"(70, -170, 80, -160)"
454,40N_030W,"(30, -30, 40, -20)"
455,10N_080E,"(0, 80, 10, 90)"
456,30S_010E,"(-40, 10, -30, 20)"
457,10N_110W,"(0, -110, 10, -100)"
458,00N_090E,"(-10, 90, 0, 100)"
459,30N_050E,"(20, 50, 30, 60)"
460,50S_170W,"(-60, -170, -50, -160)"
461,50N_100W,"(40, -100, 50, -90)"
462,30S_180W,"(-40, -180, -30, -170)"
463,50S_080E,"(-60, 80, -50, 90)"
464,80N_150W,"(70, -150, 80, -140)"
465,40N_160E,"(30, 160, 40, 170)"
466,40S_020E,"(-50, 20, -40, 30)"
467,20S_070W,"(-30, -70, -20, -60)"
468,20N_150W,"(10, -150, 20, -140)"
469,50S_020E,"(-60, 20, -50, 30)"
470,60N_060W,"(50, -60, 60, -50)"
471,60N_050E,"(50, 50, 60, 60)"
472,10N_110E,"(0, 110, 10, 120)"
473,20S_140W,"(-30, -140, -20, -130)"
474,60N_080W,"(50, -80, 60, -70)"
475,50S_000E,"(-60, 0, -50, 10)"
476,50N_140E,"(40, 140, 50, 150)"
477,30S_030W,"(-40, -30, -30, -20)"
478,40S_010W,"(-50, -10, -40, 0)"
479,40S_110W,"(-50, -110, -40, -100)"
480,20S_180W,"(-30, -180, -20, -170)"
481,50N_000E,"(40, 0, 50, 10)"
482,20N_100W,"(10, -100, 20, -90)"
483,30N_030W,"(20, -30, 30, -20)"
484,00N_160W,"(-10, -160, 0, -150)"
485,50N_110W,"(40, -110, 50, -100)"
486,30S_130W,"(-40, -130, -30, -120)"
487,40N_000E,"(30, 0, 40, 10)"
488,80N_060W,"(70, -60, 80, -50)"
489,40S_050E,"(-50, 50, -40, 60)"
490,30N_170W,"(20, -170, 30, -160)"
491,40N_070E,"(30, 70, 40, 80)"
492,80N_070E,"(70, 70, 80, 80)"
493,00N_100W,"(-10, -100, 0, -90)"
494,70N_070W,"(60, -70, 70, -60)"
495,20N_030E,"(10, 30, 20, 40)"
496,50N_080E,"(40, 80, 50, 90)"
497,40S_070E,"(-50, 70, -40, 80)"
498,20S_170W,"(-30, -170, -20, -160)"
499,70N_170E,"(60, 170, 70, 180)"
500,60N_020W,"(50, -20, 60, -10)"
501,10S_180W,"(-20, -180, -10, -170)"
502,30S_020W,"(-40, -20, -30, -10)"
503,30N_160W,"(20, -160, 30, -150)"
